"";"Ano";"Codigo_Estacao";"Precipitacao_na_count";"Precipitacao_total_count";"Precipitacao_percentage_na";"Temperatura_minima_na_count";"Temperatura_minima_total_count";"Temperatura_minima_percentage_na";"Temperatura_maxima_na_count";"Temperatura_maxima_total_count";"Temperatura_maxima_percentage_na";"Nome";"Latitude";"Longitude";"Altitude";"Situacao";"Data Inicial";"Data Final";"Periodicidade da Medicao";"Tipo";"id"
"106";2007;"82799";365;365;100;365;365;100;365;365;100;"GOIANA";"-7.55";"-34.98";11;"Desativada";1985-01-01;2024-05-31;"Diaria";"Convencional";"-7.55 -34.98 2007"
"107";2007;"82886";31;365;8,49;30;365;8,22;30;365;8,22;"CABROBO";"-8.50388888";"-39.31527777";342,78;"Operante";1985-01-01;2024-05-31;"Diaria";"Convencional";"-8.50388888 -39.31527777 2007"
"108";2007;"82890";35;365;9,59;35;365;9,59;35;365;9,59;"ARCO VERDE";"-8.4336111";"-37.05527777";683,91;"Operante";1985-01-01;2024-05-31;"Diaria";"Convencional";"-8.4336111 -37.05527777 2007"
"109";2007;"82892";0;365;0;0;365;0;0;365;0;"PESQUEIRA";"-8.370701";"-36.707812";643,38;"Desativada";1985-01-01;2015-11-18;"Diaria";"Convencional";"-8.370701 -36.707812 2007"
"110";2007;"82893";11;365;3,01;6;365;1,64;6;365;1,64;"GARANHUNS";"-8.91083333";"-36.49333333";827,78;"Fechada";1985-01-01;2022-11-11;"Diaria";"Convencional";"-8.91083333 -36.49333333 2007"
"111";2007;"82897";365;365;100;365;365;100;365;365;100;"TAPACURA";"-8.17";"-35.18";102;"Desativada";1985-01-01;2024-05-31;"Diaria";"Convencional";"-8.17 -35.18 2007"
"112";2007;"82898";365;365;100;365;365;100;365;365;100;"OLINDA";"-8.02";"-34.85";55;"Desativada";1985-01-01;2024-05-31;"Diaria";"Convencional";"-8.02 -34.85 2007"
"113";2007;"82900";0;365;0;4;365;1,1;4;365;1,1;"RECIFE (CURADO)";"-8.05916666";"-34.95916666";11,3;"Fechada";1985-01-01;2020-08-31;"Diaria";"Convencional";"-8.05916666 -34.95916666 2007"
"114";2007;"82983";0;365;0;1;365;0,27;1;365;0,27;"PETROLINA";"-9.3886111";"-40.52333332";372,54;"Operante";1985-01-01;2024-05-31;"Diaria";"Convencional";"-9.3886111 -40.52333332 2007"
"115";2007;"A301";11;365;3,01;7;365;1,92;7;365;1,92;"RECIFE";"-8.05916666";"-34.95916666";11,3;"Desativada";2004-12-21;2021-11-11;"Diaria";"Automatica";"-8.05916666 -34.95916666 2007"
